symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
BAT-USDT,2025-05-12 19:00:00,0.1611,41.08752504258998,-0.0006390977017368404,0.00015390003515483675,0,0.05127396463857388,-1.5281173594132043,0.004990642545227741,0.31790511124274023,0.0,NEUTRO
REN-USDT,2025-05-12 19:00:00,0.01121,58.634462125821706,7.236123200835692e-05,6.043580861517483e-05,1,0.8190378141467728,4.085422469823579,0.0,9.473381441743717,0.0,NEUTRO
ZRX-USDT,2025-05-12 19:00:00,0.2936,42.17550733969685,-0.0012937865375848845,0.0002894062798079062,0,0.07165165875860102,-2.8779358253390623,0.013112491373361124,20.74779627698153,0.0,NEUTRO
OMG-USDT,2025-05-12 19:00:00,0.2107,39.385470731148885,-0.0007330677390618989,0.00017246206405168764,0,0.043829897388557096,-3.126436781609196,0.006688963210702337,1.2574450382801412,0.0,NEUTRO
QTUM-USDT,2025-05-12 19:00:00,2.52,45.2039890826202,0.003874867273683247,0.01621144821427367,1,0.26569713584431803,-3.0769230769230793,0.010425020048115297,0.4127868670270614,0.0,NEUTRO
IOST-USDT,2025-05-12 19:00:00,0.004235,42.2340597975046,-2.2898358706271646e-05,-2.5468603561231246e-06,0,0.07995480257877002,-1.7629320343307744,0.014371257485029876,200.92314679672677,0.0,NEUTRO
KAVA-USDT,2025-05-12 19:00:00,0.4658,42.456613921845985,-0.004297196071320897,-0.004021528040682723,0,0.2769674904989091,-0.1500535905680673,0.0017204301075268713,137.2029949348989,0.0,NEUTRO
CVC-USDT,2025-05-12 19:00:00,0.1133,41.955041755719,-0.0003631290445319929,7.168279615766819e-05,0,0.1212511662638842,-2.830188679245281,0.016143497757847403,1.3882457415923797,0.0,NEUTRO
ANKR-USDT,2025-05-12 19:00:00,0.02099,40.12294100251395,-7.521535049504965e-05,2.7746575900460294e-05,0,-0.021228937016075658,-2.190121155638389,0.007197696737044179,3.047413733537957,0.0,NEUTRO
STORJ-USDT,2025-05-12 19:00:00,0.325,39.88415783996417,-0.0015053148165005137,0.0003659966401150225,0,0.002642510407400697,-2.314397354974447,0.004636785162287493,17.42367577916783,0.0,NEUTRO
ZEN-USDT,2025-05-12 19:00:00,10.029,37.6223704837513,-0.1049688042010537,-0.020997082754541714,0,-0.012188714058681108,-2.791509159639433,0.0069277108433734025,26.649302222278372,0.0,NEUTRO
LRC-USDT,2025-05-12 19:00:00,0.1162,38.09913146365418,-0.0008834971401631697,-7.687022968464979e-05,0,-0.012755419402333344,-2.9239766081871372,0.00868055555555558,11.010388774297475,0.0,NEUTRO
BAL-USDT,2025-05-12 19:00:00,1.124,36.66126532024713,-0.007334283071348535,-0.0008821140069638422,0,-0.0998858929215908,-3.2702237521514474,0.01352569882777277,89.11890997855735,0.0,NEUTRO
HNT-USDT,2025-05-12 19:00:00,3.834,35.312090435055595,-0.038852293855578424,-0.023505558130399857,0,-0.06931228007315063,-2.985829959514167,0.0,1.0433931645907237,0.0,NEUTRO
CKB-USDT,2025-05-12 19:00:00,0.005619,40.02651434794726,-3.4446985004234036e-05,2.7812517987923746e-06,0,-0.03414820990732918,-3.2208060626937742,0.0028556130644297184,37.63234669340138,0.0,NEUTRO
RSR-USDT,2025-05-12 19:00:00,0.009783,39.35647801887022,-8.728001152258705e-05,-1.7516888331964503e-05,0,0.08109339480069963,-2.0916733386709283,0.011162790697674563,147.75136705427946,0.0,NEUTRO
